idx,k_n,k_c,sN,sA,sAA,bP,bQ,bA,score
1,5,38,2.8,0.1,5,2.5,0.2,2.0,0.000760590625
2,5,38,2.8,0.1,5,2.5,0.2,2.1,0.0
3,5,38,2.8,0.1,5,2.5,0.2,2.2,0.0
4,5,38,2.8,0.1,5,2.5,0.2,2.3,0.0
5,5,38,2.8,0.1,5,2.5,0.0,2.0,0.0
6,5,38,2.8,0.1,5,2.5,0.0,2.1,0.0
7,5,38,2.8,0.1,5,2.5,0.0,2.2,0.0
8,5,38,2.8,0.1,5,2.5,0.0,2.3,0.0
9,5,38,2.8,0.1,5,3.0,0.2,2.0,0.007492640625000005
10,5,38,2.8,0.1,5,3.0,0.2,2.1,0.009454224999999998
11,5,38,2.8,0.1,5,3.0,0.2,2.2,0.00836968125
12,5,38,2.8,0.1,5,3.0,0.2,2.3,0.010159528125000001
13,5,38,2.8,0.1,5,3.0,0.0,2.0,0.007216503124999997
14,5,38,2.8,0.1,5,3.0,0.0,2.1,0.007510740624999998
15,5,38,2.8,0.1,5,3.0,0.0,2.2,0.008185062499999994
16,5,38,2.8,0.1,5,3.0,0.0,2.3,0.010423031250000001
17,5,38,2.8,0.1,6,2.5,0.2,2.0,0.00033561874999999997
18,5,38,2.8,0.1,6,2.5,0.2,2.1,0.0
19,5,38,2.8,0.1,6,2.5,0.2,2.2,0.0
20,5,38,2.8,0.1,6,2.5,0.2,2.3,0.0
21,5,38,2.8,0.1,6,2.5,0.0,2.0,0.0
22,5,38,2.8,0.1,6,2.5,0.0,2.1,0.0
23,5,38,2.8,0.1,6,2.5,0.0,2.2,0.00028189687499999993
24,5,38,2.8,0.1,6,2.5,0.0,2.3,0.0
25,5,38,2.8,0.1,6,3.0,0.2,2.0,0.005163203124999998
26,5,38,2.8,0.1,6,3.0,0.2,2.1,0.006911996875
27,5,38,2.8,0.1,6,3.0,0.2,2.2,0.006763287500000001
28,5,38,2.8,0.1,6,3.0,0.2,2.3,0.006818659374999999
29,5,38,2.8,0.1,6,3.0,0.0,2.0,0.006279134374999997
30,5,38,2.8,0.1,6,3.0,0.0,2.1,0.005175309375000003
31,5,38,2.8,0.1,6,3.0,0.0,2.2,0.007728415624999997
32,5,38,2.8,0.1,6,3.0,0.0,2.3,0.007608750000000004
33,5,38,2.8,0.1,7,2.5,0.2,2.0,0.0
34,5,38,2.8,0.1,7,2.5,0.2,2.1,0.0004883156249999999
35,5,38,2.8,0.1,7,2.5,0.2,2.2,0.00047336875
36,5,38,2.8,0.1,7,2.5,0.2,2.3,0.0
37,5,38,2.8,0.1,7,2.5,0.0,2.0,0.0002771468749999999
38,5,38,2.8,0.1,7,2.5,0.0,2.1,0.0002784218749999999
39,5,38,2.8,0.1,7,2.5,0.0,2.2,0.0005065499999999999
40,5,38,2.8,0.1,7,2.5,0.0,2.3,0.0
41,5,38,2.8,0.1,7,3.0,0.2,2.0,0.005948443750000001
42,5,38,2.8,0.1,7,3.0,0.2,2.1,0.006027412499999997
43,5,38,2.8,0.1,7,3.0,0.2,2.2,0.005389928124999995
44,5,38,2.8,0.1,7,3.0,0.2,2.3,0.0065204468750000005
45,5,38,2.8,0.1,7,3.0,0.0,2.0,0.0055974374999999965
46,5,38,2.8,0.1,7,3.0,0.0,2.1,0.006436612500000003
47,5,38,2.8,0.1,7,3.0,0.0,2.2,0.006331740624999993
48,5,38,2.8,0.1,7,3.0,0.0,2.3,0.006737643749999999
49,5,38,3.0,0.1,5,2.5,0.2,2.0,0.0
50,5,38,3.0,0.1,5,2.5,0.2,2.1,0.0
51,5,38,3.0,0.1,5,2.5,0.2,2.2,0.0
52,5,38,3.0,0.1,5,2.5,0.2,2.3,0.0
53,5,38,3.0,0.1,5,2.5,0.0,2.0,0.0
54,5,38,3.0,0.1,5,2.5,0.0,2.1,0.0
55,5,38,3.0,0.1,5,2.5,0.0,2.2,0.0
56,5,38,3.0,0.1,5,2.5,0.0,2.3,0.0
57,5,38,3.0,0.1,5,3.0,0.2,2.0,0.0
58,5,38,3.0,0.1,5,3.0,0.2,2.1,0.0
59,5,38,3.0,0.1,5,3.0,0.2,2.2,0.0
60,5,38,3.0,0.1,5,3.0,0.2,2.3,0.0
61,5,38,3.0,0.1,5,3.0,0.0,2.0,0.008178637499999994
62,5,38,3.0,0.1,5,3.0,0.0,2.1,0.008296662499999998
63,5,38,3.0,0.1,5,3.0,0.0,2.2,0.009526121875000002
64,5,38,3.0,0.1,5,3.0,0.0,2.3,0.010914484374999995
65,5,38,3.0,0.1,6,2.5,0.2,2.0,0.0
66,5,38,3.0,0.1,6,2.5,0.2,2.1,0.0
67,5,38,3.0,0.1,6,2.5,0.2,2.2,0.0
68,5,38,3.0,0.1,6,2.5,0.2,2.3,0.0
69,5,38,3.0,0.1,6,2.5,0.0,2.0,0.0002803374999999999
70,5,38,3.0,0.1,6,2.5,0.0,2.1,0.0
71,5,38,3.0,0.1,6,2.5,0.0,2.2,0.0
72,5,38,3.0,0.1,6,2.5,0.0,2.3,0.00036921874999999986
73,5,38,3.0,0.1,6,3.0,0.2,2.0,0.0
74,5,38,3.0,0.1,6,3.0,0.2,2.1,0.0
75,5,38,3.0,0.1,6,3.0,0.2,2.2,0.0
76,5,38,3.0,0.1,6,3.0,0.2,2.3,0.0
77,5,38,3.0,0.1,6,3.0,0.0,2.0,0.0061080374999999965
78,5,38,3.0,0.1,6,3.0,0.0,2.1,0.005702943749999998
79,5,38,3.0,0.1,6,3.0,0.0,2.2,0.007076446874999993
80,5,38,3.0,0.1,6,3.0,0.0,2.3,0.006387190624999997
81,5,38,3.0,0.1,7,2.5,0.2,2.0,0.0
82,5,38,3.0,0.1,7,2.5,0.2,2.1,0.0002801031249999999
83,5,38,3.0,0.1,7,2.5,0.2,2.2,0.00027669999999999995
84,5,38,3.0,0.1,7,2.5,0.2,2.3,0.0
85,5,38,3.0,0.1,7,2.5,0.0,2.0,0.0
86,5,38,3.0,0.1,7,2.5,0.0,2.1,0.00028979375
87,5,38,3.0,0.1,7,2.5,0.0,2.2,0.00039292187499999993
88,5,38,3.0,0.1,7,2.5,0.0,2.3,0.0003504218750000001
89,5,38,3.0,0.1,7,3.0,0.2,2.0,0.00026265312499999994
90,5,38,3.0,0.1,7,3.0,0.2,2.1,0.0
91,5,38,3.0,0.1,7,3.0,0.2,2.2,0.00036741874999999993
92,5,38,3.0,0.1,7,3.0,0.2,2.3,0.0003381374999999999
93,5,38,3.0,0.1,7,3.0,0.0,2.0,0.0065043218749999965
94,5,38,3.0,0.1,7,3.0,0.0,2.1,0.005054353125000003
95,5,38,3.0,0.1,7,3.0,0.0,2.2,0.005403490625
96,5,38,3.0,0.1,7,3.0,0.0,2.3,0.005442668750000001
97,5,38,3.2,0.1,5,2.5,0.2,2.0,0.0
98,5,38,3.2,0.1,5,2.5,0.2,2.1,0.0
99,5,38,3.2,0.1,5,2.5,0.2,2.2,0.0
100,5,38,3.2,0.1,5,2.5,0.2,2.3,0.0
101,5,38,3.2,0.1,5,2.5,0.0,2.0,0.0
102,5,38,3.2,0.1,5,2.5,0.0,2.1,0.0
103,5,38,3.2,0.1,5,2.5,0.0,2.2,0.0
104,5,38,3.2,0.1,5,2.5,0.0,2.3,0.0
105,5,38,3.2,0.1,5,3.0,0.2,2.0,0.0
106,5,38,3.2,0.1,5,3.0,0.2,2.1,0.0
107,5,38,3.2,0.1,5,3.0,0.2,2.2,0.0
108,5,38,3.2,0.1,5,3.0,0.2,2.3,0.0
109,5,38,3.2,0.1,5,3.0,0.0,2.0,0.0
110,5,38,3.2,0.1,5,3.0,0.0,2.1,0.0
111,5,38,3.2,0.1,5,3.0,0.0,2.2,0.0
112,5,38,3.2,0.1,5,3.0,0.0,2.3,0.0
113,5,38,3.2,0.1,6,2.5,0.2,2.0,0.0
114,5,38,3.2,0.1,6,2.5,0.2,2.1,0.0
115,5,38,3.2,0.1,6,2.5,0.2,2.2,0.0
116,5,38,3.2,0.1,6,2.5,0.2,2.3,0.0
117,5,38,3.2,0.1,6,2.5,0.0,2.0,0.000333046875
118,5,38,3.2,0.1,6,2.5,0.0,2.1,0.0003359874999999999
119,5,38,3.2,0.1,6,2.5,0.0,2.2,0.0
120,5,38,3.2,0.1,6,2.5,0.0,2.3,0.0
121,5,38,3.2,0.1,6,3.0,0.2,2.0,0.0
122,5,38,3.2,0.1,6,3.0,0.2,2.1,0.0010522437499999996
123,5,38,3.2,0.1,6,3.0,0.2,2.2,0.0
124,5,38,3.2,0.1,6,3.0,0.2,2.3,0.0
125,5,38,3.2,0.1,6,3.0,0.0,2.0,0.000541171875
126,5,38,3.2,0.1,6,3.0,0.0,2.1,0.0005602062499999999
127,5,38,3.2,0.1,6,3.0,0.0,2.2,0.0
128,5,38,3.2,0.1,6,3.0,0.0,2.3,0.0
129,5,38,3.2,0.1,7,2.5,0.2,2.0,0.000310496875
130,5,38,3.2,0.1,7,2.5,0.2,2.1,0.00030661562499999993
131,5,38,3.2,0.1,7,2.5,0.2,2.2,0.0
132,5,38,3.2,0.1,7,2.5,0.2,2.3,0.0
133,5,38,3.2,0.1,7,2.5,0.0,2.0,0.00026018124999999993
